#levels	sections	uncapped	maxcap	medcap	spawns	maxburst	pak
57	207	0	8	3	1551	180	Garou - Rage of the Wolves.pak
1	0	0	0	0	0	0	GG' Girls.pak
4	10	2	100	6	117	26	Ghouls 'N Ghosts Returns.pak
93	307	54	100	2	3209	112	GI Joe - Attack On Cobra Island.pak
1	0	0	0	0	0	0	Girls Special II, The.pak
1	0	0	0	0	0	0	Girls Special III, The.pak
1	0	0	0	0	0	0	Girls Special, The.pak
8	1	0	1	1	65	15	Go Bat.pak
6	16	0	8	4	159	27	God Of War - Ragnarok.pak
15	12	0	6	6	783	84	God of War.pak
20	100	0	6	4	1196	37	Godzilla - Ultraman - Gamera! All Out Monster War!.pak
56	128	33	100	3	886	70	Golden Axe Curse of Death Adder.pak
63	50	2	100	2	815	21	Golden Axe Genesis.pak
26	87	0	8	3	1473	80	Golden Axe Legend.pak
41	107	1	100	3	623	37	Golden Axe Myth.pak
88	143	38	100	3	1840	63	Golden Axe Remake - Special Edition.pak
113	361	0	99	3	4586	86	Golden Axe Returns.pak
185	210	37	120	4	3747	298	Guardian Heroes Warpath.pak
3	27	4	200	2	118	43	Guardians of the Hood II.pak
65	225	0	12	3	4669	136	Guardians of the Requiem - The Warriors of God.pak
14	9	0	4	3	145	26	Gudule - Fist in ya Face!.pak
40	14	0	4	4	478	26	Gudule.pak
51	111	5	100	4	3437	322	Guilty Gear - The Crusades.pak
7	19	3	100	1	224	33	Gunman.pak
58	135	0	22	4	3571	248	Gunslingers Unison.pak
18	58	0	15	10	1395	89	Gunstar Heroes Z.pak
2	1	1	100	100	67	61	Halloween - The Wrath of Michael Myers.pak
6	4	0	1	1	37	14	Happy Heart.pak
31	112	48	100	4	1304	46	Hatchet Ninjaz.pak
54	531	28	1000	4	3854	1056	Head Hunters.pak
14	38	0	7	5	591	65	Heaven's Anime Girls.pak
60	139	71	9999	999	3403	174	He-Man and the Masters of the Universe.pak
11	29	0	4	3	248	42	Hentai City.pak
2	0	0	0	0	0	0	Hiryu No Ken [Demo].pak
100	15	2	100	1	1359	119	Hokuto no Ken Fury Road.pak
4	4	0	3	1	26	24	Honeybee Harvest.pak
13	52	3	100	4	558	58	Hulk vs. Streets of Rage.pak
83	302	2	100	5	4178	140	Hyper Final Fight 1.pak
89	390	0	13	5	4791	121	Hyper Final Fight 2.pak
216	599	0	10	5	7096	66	Hyper Final Fight 3 - Return of the Black.pak
22	104	0	5	2	1452	519	Ikari Warriors 2010 + Mutation Nation.pak
18	0	0	0	0	240	26	Immortal Monster.pak
44	177	0	6	1	485	33	Infinity Beat 'Em Up.pak
48	327	12	100	3	4441	2917	Jaspion.pak
1	0	0	0	0	0	0	Joe and Mac - Caveman Ninja.pak
9	0	0	0	0	64	18	Joker.pak
269	607	0	99	5	13271	537	Justice League Legacy.pak
83	194	0	99	4	5099	555	Justice League United.pak
9	8	2	100	10	282	39	Kill Bill - Volume 1.pak
20	6	0	5	3	199	36	Kill Ryu 1.pak
50	14	0	4	4	685	108	Kill Ryu 2.pak
33	2	0	4	4	121	14	Kill Ryu Turbo.pak
111	370	0	15	4	3171	96	King of Fighters Zillion, The  - Another Road.pak
49	127	0	6	4	1540	139	King of Fighters, The - Beat 'Em Up Plus.pak
8	34	0	6	1	148	35	Kingdom Hearts.pak
14	41	16	100	3	266	24	Kirby Blast.pak
9	33	2	100	4	239	74	Konpaku.pak
10	0	0	0	0	109	4	Kung Fu Masters and the Wrath of the Gods.pak
34	131	0	5	3	744	47	Kunio-Kun Renegade L A Remaster.pak
1	0	0	0	0	0	0	Ladies of Rage.pak
16	171	29	100	1	665	90	Langit Lands.pak
14	21	0	4	1	111	16	Last Life.pak
149	260	1	999	4	6294	140	Legend of Korr - Path of Destruction.pak
40	357	0	13	1	1081	212	Legend of the Double Dragon.pak
18	112	0	3	1	438	128	Lift.pak
3	0	0	0	0	24	2	Lunar.pak
26	8	0	3	1	154	42	Lust Rush.pak
28	28	2	100	3	561	47	M@skaku, The - Wonder Momo '09.pak
17	70	0	5	4	572	20	Maplevania.pak
8	1	1	100	100	90	12	Martial Masters - New Legend.pak
311	924	34	100	5	16535	1027	Marvel - Infinity War.pak
170	593	49	100	5	10124	271	Marvel First Alliance 2.pak
272	1054	105	100	5	18524	102	Marvel First Alliance.pak
25	106	2	300	4	613	41	Marvel Super Heroes Infinity Adventure.pak
59	126	34	100	4	2225	298	Marvel Super Heroes.pak
6	2	0	9	9	84	57	Marvel vs Capcom.pak
21	75	1	100	9	1058	151	Marvel War of the Gems.pak
22	5	2	100	3	826	77	Masters Of The Universe - Eternian Battle.pak
3	5	2	100	3	22	18	Masters of the Universe.pak
17	75	0	6	4	540	55	Maximun Carnage Returns.pak
